N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,M3
0.0781,0.0611,4.436123098,6.450912357999999,10.53390403,0.126007044,24.4001,18.3001,0.387604791,2.273439325,1.262726707,1.389265004,5.72630557,8.125751939,RAISE
0.0981,0.0621,4.591317309,6.097780928,10.53390403,0.13753475,24.8001,18.6001,0.42112811,2.153843325,1.214456412,1.319812945,5.810873495,8.102251569,RAISE
0.1181,0.0631,4.960339826,5.942586717,10.53390403,0.150589776,25.2001,18.9001,0.43586094,2.103525351,1.202352451,1.292233166,6.148857168999999,8.402972296,RAISE
0.1171,0.0641,5.774380533,5.5735642,10.53390403,0.16694211,25.6001,19.2001,0.470892825,1.97416747,1.154025845,1.217888904,6.889093373,9.030202953,RAISE
0.1161,0.0651,5.923953628,4.7595234930000005,10.53390403,0.2072060289999999,26.0001,19.5001,0.548170984,1.6890532230000002,1.05173264,1.054873139,6.875858327,8.772117578,RAISE
0.1151,0.0661,6.550082829,4.6099503980000005,10.53390403,0.2489305339999999,26.4001,19.8001,0.562370192,1.636502639,1.067181854,1.03168769,7.472072908999999,9.357506082,RAISE
0.1141,0.0671,6.732731649,3.983821197,10.53390403,0.28417151,26.8001,20.1001,0.621809617,1.417157419,0.992750219,0.907128753,7.529495888,9.230824817,RAISE
0.1131,0.0681,7.604977075,3.801172377,10.53390403,0.338003706,27.2001,20.4001,0.639148756,1.353030332,1.014518872,0.87941894,8.36521155,10.05624559,RAISE
0.1121,0.0691,8.433904987,2.928926951,10.53390403,0.4001385,27.6001,20.7001,0.7219523790000001,1.047544433,0.923910716,0.70855436,9.019690377,10.46737331,RAISE
0.1111,0.0701,8.780938936,2.099999039,10.53390403,0.575904086,28.0001,21.0001,0.800643804,0.7572196640000001,0.954513918,0.569512615,9.200938744,10.53406249,RAISE
0.1101,0.0711,9.245004615,1.75296509,10.53390403,0.836280281,28.4001,21.3001,0.83358828,0.635557782,1.154059172,0.548590725,9.595597633,11.0674357,RAISE
0.1091,0.0721,10.107593199999998,1.288899411,10.53390403,1.054784795,28.8001,21.6001,0.8776427609999999,0.472934794,1.291252192,0.494717835,10.36537308,11.89309267,RAISE
0.1081,0.0731,7.714916242999999,0.426310824,10.53390403,1.568406831,29.2001,21.9001,0.959529646,0.170828788,1.653821225,0.4161786389999999,7.800178408,9.539414027,RAISE
0.1071,0.0741,7.865190279,2.8189877830000003,10.53390403,3.619385576,29.6001,22.2001,0.732389077,1.0080657240000002,4.123418438,1.32871655,8.428987836000001,13.05643914,RAISE
0.1071,0.0751,8.08386305,2.668713747,10.53390403,0.558015209,30.0001,22.5001,0.746654826,0.955469811,1.035750115,0.6848849290000001,8.617605799,10.13109082,RAISE
0.1071,0.0761,8.188165178,2.450040977,10.53390403,0.605824664,30.4001,22.8001,0.767413775,0.878934342,1.045291835,0.648525538,8.678173373,10.16293238,RAISE
0.1071,0.0771,8.622256059,2.3457388480000003,10.53390403,0.6684104679999999,30.8001,23.1001,0.777315339,0.8424285970000001,1.089624766,0.639139252,9.091403829,10.60224289,RAISE
0.1071,0.0781,9.396159557,1.911647967,10.53390403,0.735142027,31.2001,23.4001,0.818524266,0.6904967879999999,1.080390421,0.561326478,9.77848915,11.20412797,RAISE
0.1071,0.0791,10.14602979,1.137744469,10.53390403,0.983042874,31.6001,23.7001,0.8919921359999999,0.419630564,1.192858156,0.4483869129999999,10.37357868,11.77625212,RAISE
0.1071,0.0801,7.592831408999999,0.387874232,10.53390403,1.783534013,32.0001,24.0001,0.963178492,0.157175981,1.862122004,0.451012391,7.670406255,9.61111625,RAISE
0.1071,0.0811,8.267133588,2.941072617,10.53390403,3.91509968,32.4001,24.3001,0.720799372,1.050795416,4.440497388,1.413497186,8.855348111,13.82124321,RAISE
0.1071,0.0821,8.906267188,2.266770438,10.53390403,0.562184935,32.8001,24.6001,0.784811934,0.814789653,0.969579762,0.601310779,9.359621276,10.73659586,RAISE
0.1071,0.0831,9.672774029,1.627636838,10.53390403,0.785811129,33.2001,24.9001,0.845485887,0.591092893,1.081357576,0.5118179620000001,9.998301397,11.37520542,RAISE
0.1071,0.0841,9.996579432,0.861129997,10.53390403,1.188566614,33.6001,25.2001,0.918251581,0.322815499,1.349974363,0.431402622,10.16880543,11.68018754,RAISE
0.1271,0.0851,10.66869178,0.537324594,10.53390403,2.321735269,34.0001,25.5001,0.948990935,0.213483608,2.4284770730000003,0.592437219,10.7761567,13.31137558,RAISE
0.1471,0.0861,9.224438077,-0.1347877509999999,10.53390403,3.971041671,34.4001,25.8001,1.012795612,-0.017755713,3.962163815,0.783554906,9.197480527,13.15076648,HOLD
0.0001,0.0861,9.617261996,1.309465949,10.53390403,-13.68735365,34.4001,25.8001,0.875690347,0.458333082,-13.45818711,-2.462470881,9.879155186,-3.349865382,RAISE
-0.0009,0.0871,10.3350544,0.91664203,10.53390403,1.468883097,34.8001,26.1001,0.912981737,0.320644711,1.629205452,0.486163446,10.51838281,12.30791061,RAISE
0.0191,0.0881,3.235571653,0.19884963,10.53390403,2.254981565,35.2001,26.4001,0.981122893,0.073417371,2.29169025,0.495046735,3.275341579,5.603740515,HOLD
0.0391,0.0881,3.249639435,7.298332372999999,10.53390403,3.2542898460000003,35.2001,26.4001,0.307157882,2.562236331,4.535408011,2.188199768,4.70930591,10.52583209,RAISE
0.0591,0.0891,3.34759978,7.284264591,10.53390403,0.089051561,35.6001,26.7001,0.3084933589999999,2.561312607,1.369707864,1.554597876,4.804452698,7.454816866,RAISE
0.0791,0.0901,3.565135879,7.186304247000001,10.53390403,0.091913185,36.0001,27.0001,0.317792888,2.531026486,1.357426428,1.536998529,5.002396728,7.6253364,RAISE
0.0991,0.0911,4.341406197,6.968768148,10.53390403,0.099220288,36.4001,27.3001,0.33844393,2.458888852,1.328664714,1.495177369,5.735159827,8.293268966,RAISE
0.1191,0.0921,4.754121182,6.192497829,10.53390403,0.124596087,36.8001,27.6001,0.412136487,2.19119424,1.220193207,1.339635761,5.992620747999999,8.308411075,RAISE
0.1391,0.0931,4.86833208,5.779782844,10.53390403,0.153544541,37.2001,27.9001,0.451316166,2.050743995,1.178916539,1.261155305,6.024288649,8.228577185,RAISE
0.1591,0.0941,5.154849768,5.665571946,10.53390403,0.168460726,37.6001,28.2001,0.462158386,2.014770181,1.175845817,1.242554254,6.287964157,8.471195064,RAISE
0.1591,0.0951,5.572228917,5.379054257999999,10.53390403,0.181971028,38.0001,28.5001,0.489357958,1.91448899,1.139215523,1.1850876,6.648039769,8.744499787,RAISE
0.1581,0.0961,6.070158912999999,4.961675109,10.53390403,0.207182477,38.4001,28.8001,0.528980414,1.768206288,1.091285621,1.102360268,7.062493935,9.0378827,RAISE
0.1571,0.0971,6.622682151,4.463745113,10.53390403,0.2446818369999999,38.8001,29.1001,0.576249688,1.59373079,1.041547232,1.005174841,7.515431174,9.353843800000002,RAISE
0.1561,0.0981,7.086923857,3.911221875,10.53390403,0.296732093,39.2001,29.4001,0.628701584,1.400147656,0.996805921,0.899435012,7.869168232000001,9.566047981,RAISE
0.1551,0.0991,7.197155400000001,3.446980169,10.53390403,0.362389252,39.6001,29.7001,0.672772776,1.237463059,0.981120782,0.8149556859999999,7.886551433999999,9.486403745,RAISE
0.1541,0.1001,7.780413772999999,3.336748627,10.53390403,0.417591924,40.0001,30.0001,0.6832372290000001,1.198682019,1.016932934,0.802727596,8.447763497999999,10.06403744,RAISE
0.1531,0.1011,8.078881828,2.7534902530000003,10.53390403,0.466347013,40.4001,30.3001,0.73860686,0.994341589,0.963517807,0.6898743559999999,8.629579879,10.09026848,RAISE
0.1521,0.1021,8.340278793,2.455022198,10.53390403,0.586810272,40.8001,30.6001,0.7669408990000001,0.8896777690000001,1.031649157,0.651168716,8.831283232999999,10.30777127,RAISE
0.1511,0.1031,8.534802935,2.193625233,10.53390403,0.6794463040000001,41.2001,30.9001,0.791755723,0.797988832,1.07844072,0.61468256,8.973527982,10.45096312,RAISE
0.1511,0.1041,8.670826833,1.999101092,10.53390403,0.7781459479999999,41.6001,31.2001,0.8102222040000001,0.729905382,1.143098639,0.593572419,9.070647051,10.57869838,RAISE
0.1511,0.1051,9.327440139,1.863077193,10.53390403,0.867472573,42.0001,31.5001,0.823135165,0.682297018,1.208621082,0.582872725,9.700055578,11.24982517,RAISE
0.1511,0.1061,9.825273506,1.206463887,10.53390403,1.001294007,42.4001,31.8001,0.885468494,0.45248236,1.227535187,0.471748218,10.06656628,11.52034265,RAISE
0.1511,0.1071,10.6654965,0.70863052,10.53390403,1.628772085,42.8001,32.1001,0.932728595,0.278240682,1.767892426,0.492698826,10.8072226,12.71423537,RAISE
0.1511,0.1081,7.040119561,-0.131592474,10.53390403,3.010171367,43.2001,32.4001,1.01249228,-0.015837366,3.002252684,0.592531854,7.013801066,10.00813507,HOLD
